data
12
HoleID
X
Y
Elevation
from
to
RockType
Prop1-Phi
Prop2-Vsh
Prop3-Kv
Prop4-Kh
Prop5-Sw
3. 405. 1715.    765.50000        383.00000        382.50000     3.   0.27616000       0.25081000        308.23531        770.19003       0.71988000    
3. 405. 1715.    764.50000        382.50000        382.00000     3.   0.28756000       0.21566000        447.10957        1117.0985       0.36158000    
3. 405. 1715.    763.50000        382.00000        381.50000     5.   0.31480000E-01   0.74187000       0.10000000E-03   0.10000000E-02   0.76914000    
3. 405. 1715.    762.50000        381.50000        381.00000     5.   0.10849000       0.30300000       0.10000000E-03    2.3407300       0.50178000    
3. 405. 1715.    761.50000        381.00000        380.50000     3.   0.31524000       0.12586000        676.56513        1692.6860       0.30761000    
3. 405. 1715.    760.50000        380.50000        380.00000     3.   0.31058000       0.77080000E-01    622.76996        1557.1844       0.32645000    
3. 405. 1715.    759.50000        380.00000        379.50000     3.   0.30537000       0.16722000        622.79035        1556.9698       0.15138000    
3. 405. 1715.    758.50000        379.50000        379.00000     3.   0.31530000       0.10125000        725.25169        1810.6414       0.13264000    
3. 405. 1715.    757.50000        379.00000        378.50000     3.   0.29128000       0.20649000        501.18516        1249.2547       0.11630000    
3. 405. 1715.    756.50000        378.50000        378.00000     3.   0.28649000       0.21740000        437.34699        1084.8330       0.11631000    
3. 405. 1715.    755.50000        378.00000        377.50000     3.   0.27833000       0.15787000        340.39226        846.85023       0.22881000    
3. 405. 1715.    754.50000        377.50000        377.00000     2.   0.30351000       0.12290000        2410.9226        2803.3980       0.14357000    
3. 405. 1715.    753.50000        377.00000        376.50000     2.   0.30213000       0.18270000        2482.8478        2885.3583       0.13045000    
3. 405. 1715.    752.50000        376.50000        376.00000     2.   0.31142000       0.15079000        2811.3878        3268.0837       0.10018000    
3. 405. 1715.    751.50000        376.00000        375.50000     2.   0.33880000       0.45140000E-01    5518.5953        6417.3908       0.11290000    
3. 405. 1715.    750.50000        375.50000        375.00000     3.   0.28673000       0.18575000        371.26266        925.88524       0.50433000    
3. 405. 1715.    749.50000        375.00000        374.50000     3.   0.29637000       0.86370000E-01    461.48875        1153.3057       0.71983000    
3. 405. 1715.    748.50000        374.50000        374.00000     3.   0.29686000       0.61160000E-01    417.36693        1039.3067       0.85661000    
3. 405. 1715.    747.50000        374.00000        373.50000     4.   0.20281000       0.27185000        37.358080        81.213180       0.51175000    
3. 405. 1715.    746.50000        373.50000        373.00000     4.   0.19785000       0.29329000        28.526600        61.999340       0.44198000    
3. 405. 1715.    745.50000        373.00000        372.50000     4.   0.22017000       0.30584000        54.886430        119.97595       0.36367000    
3. 405. 1715.    744.50000        372.50000        372.00000     2.   0.31504000        0.0000000        3541.6719        4118.1332       0.70537000    
3. 405. 1715.    743.50000        372.00000        371.50000     2.   0.23968000       0.56860000E-01    3156.9351        3672.2595       0.48525000    
3. 405. 1715.    742.50000        371.50000        371.00000     2.   0.28382000       0.15319000        2032.2290        2359.0722       0.51814000    
3. 405. 1715.    741.50000        371.00000        370.50000     2.   0.32454000       0.11172000        4174.3854        4842.3334       0.22929000    
3. 405. 1715.    740.50000        370.50000        370.00000     2.   0.35382000       0.52290000E-01    6494.8238        7550.2084       0.22440000    
3. 405. 1715.    739.50000        370.00000        369.50000     2.   0.35641000       0.10023000        6491.2914        7547.1377       0.23856000    
3. 405. 1715.    738.50000        369.50000        369.00000     2.   0.35922000       0.95090000E-01    6687.3446        7775.3653       0.16173000    
3. 405. 1715.    737.50000        369.00000        368.50000     2.   0.35813000       0.17850000E-01    6949.5271        8080.7844       0.14040000    
3. 405. 1715.    736.50000        368.50000        368.00000     4.   0.16315000       0.29474000        4.9490900        10.775100       0.78111000    
3. 405. 1715.    735.50000        368.00000        367.50000     4.   0.14740000       0.35812000        2.9753300        6.4663900       0.84911000    
3. 405. 1715.    734.50000        367.50000        367.00000     4.   0.60270000E-01   0.43633000       0.11680000       0.24500000       0.97617000    
3. 405. 1715.    733.50000        367.00000        366.50000     2.   0.34623000       0.55500000E-02    6367.4944        7405.4036       0.21851000    
3. 405. 1715.    732.50000        366.50000        366.00000     2.   0.15150000       0.55910000E-01    5221.5468        6086.5093       0.38928000    
3. 405. 1715.    731.50000        366.00000        365.50000     2.   0.33579000       0.68800000E-02    7156.4483        8320.5010       0.20392000    
3. 405. 1715.    730.50000        365.50000        365.00000     2.   0.36512000       0.26690000E-01    7278.4254        8465.2026       0.17817000    
3. 405. 1715.    729.50000        365.00000        364.50000     2.   0.34778000       0.81170000E-01    6393.7297        7435.2664       0.17502000    
3. 405. 1715.    728.50000        364.50000        364.00000     2.   0.34031000       0.72430000E-01    5767.0633        6705.2465       0.19001000    
3. 405. 1715.    727.50000        364.00000        363.50000     2.   0.35567000       0.65840000E-01    6431.0098        7477.6356       0.20331000    
3. 405. 1715.    726.50000        363.50000        363.00000     2.   0.35595000       0.96700000E-01    6411.3301        7456.5128       0.20255000    
3. 405. 1715.    725.50000        363.00000        362.50000     2.   0.34343000       0.52380000E-01    5390.3183        6267.8401       0.20319000    
3. 405. 1715.    724.50000        362.50000        362.00000     2.   0.34417000       0.81180000E-01    5418.1422        6303.2787       0.22238000    
3. 405. 1715.    723.50000        362.00000        361.50000     2.   0.36279000       0.59080000E-01    6635.7416        7721.2038       0.19415000    
3. 405. 1715.    722.50000        361.50000        361.00000     2.   0.35673000       0.37630000E-01    6536.2530        7600.8533       0.19890000    
3. 405. 1715.    721.50000        361.00000        360.50000     2.   0.33381000       0.12150000        4448.9307        5175.9932       0.18628000    
