Oil Sands Data
8
Drillhole Number
East
North
Elevation
Bitumen
Fines
Chlorides
Facies Code
  7  833.00  9955.59 221.50   2.402  45.046   -9.00 -9
  7  833.00  9955.59 218.50  13.020  10.326   -9.00 -9
  7  833.00  9955.59 215.50  12.171  13.119   -9.00 -9
  8  973.50 10130.50 245.50   3.580  41.200   -9.00 -9
  8  973.50 10130.50 242.50   3.580  41.200   -9.00 -9
  8  973.50 10130.50 239.50   3.580  41.200   -9.00 -9
  8  973.50 10130.50 236.50   4.015  39.775   -9.00 -9
  8  973.50 10130.50 233.50   4.160  39.300   -9.00 -9
  8  973.50 10130.50 230.50   4.160  39.300   -9.00 -9
  8  973.50 10130.50 227.50   4.160  39.300   -9.00 -9
  8  973.50 10130.50 224.50   4.160  39.300   -9.00 -9
  8  973.50 10130.50 221.50   4.160  39.300   -9.00 -9
  8  973.50 10130.50 218.50   0.069  52.673   -9.00 -9
  8  973.50 10130.50 215.50   0.000  52.900   -9.00 -9
  8  973.50 10130.50 212.50   0.000  52.900   -9.00 -9
  8  973.50 10130.50 209.50   5.434  35.149   -9.00 -9
  9 1181.91  9985.70 260.50   0.000  52.900   -9.00 -9
  9 1181.91  9985.70 257.50   0.000  52.900   -9.00 -9
  9 1181.91  9985.70 254.50   0.000  52.900   -9.00 -9
  9 1181.91  9985.70 251.50   0.000  52.900   -9.00 -9
  9 1181.91  9985.70 248.50   0.000  52.900   -9.00 -9
  9 1181.91  9985.70 245.50   0.000  52.900   -9.00 -9
  9 1181.91  9985.70 242.50   0.000  52.900   -9.00 -9
  9 1181.91  9985.70 239.50   0.000  52.900   -9.00 -9
  9 1181.91  9985.70 236.50   0.000  52.900   -9.00 -9
  9 1181.91  9985.70 233.50   0.000  52.900   -9.00 -9
  9 1181.91  9985.70 230.50   0.000  52.900   -9.00 -9
  9 1181.91  9985.70 227.50   0.000  52.900   -9.00 -9
  9 1181.91  9985.70 224.50   0.000  52.900   -9.00 -9
  9 1181.91  9985.70 221.50   2.386  45.116   -9.00 -9
  9 1181.91  9985.70 218.50   9.223  22.776   -9.00 -9
 10 1120.41  8415.00 257.50   9.979  20.192   -9.00 -9
 10 1120.41  8415.00 254.50   5.914  33.512   -9.00 -9
 10 1120.41  8415.00 251.50   3.390  41.800   -9.00 -9
 10 1120.41  8415.00 248.50   3.390  41.800   -9.00 -9
 10 1120.41  8415.00 245.50   3.318  42.016   -9.00 -9
 10 1120.41  8415.00 242.50   6.020  33.145   -9.00 -9
 10 1120.41  8415.00 239.50   9.556  21.575   -9.00 -9
 10 1120.41  8415.00 236.50  11.210  16.197   -9.00 -9
 10 1120.41  8415.00 233.50  10.368  18.956   -9.00 -9
 10 1120.41  8415.00 230.50  11.659  14.768   -9.00 -9
 10 1120.41  8415.00 227.50  14.050   8.174   -9.00 -9
 10 1120.41  8415.00 224.50  15.597   4.900   -9.00 -9
 10 1120.41  8415.00 221.50  16.074   4.900   -9.00 -9
 10 1120.41  8415.00 218.50  16.105   4.900   -9.00 -9
 10 1120.41  8415.00 215.50  15.152   4.900   -9.00 -9
 11 1138.00  7970.00 257.50   2.900  43.500   -9.00 -9
 11 1138.00  7970.00 254.50   3.704  40.793   -9.00 -9
 11 1138.00  7970.00 251.50   0.000  52.900   -9.00 -9
 11 1138.00  7970.00 248.50   0.068  52.681   -9.00 -9
 11 1138.00  7970.00 245.50   2.900  43.500   -9.00 -9
 11 1138.00  7970.00 242.50   1.912  46.660   -9.00 -9
 11 1138.00  7970.00 239.50   1.249  48.857   -9.00 -9
 11 1138.00  7970.00 236.50   0.970  49.800   -9.00 -9
 11 1138.00  7970.00 233.50   7.568  28.164   -9.00 -9
 11 1138.00  7970.00 230.50  10.198  19.501   -9.00 -9
